id,episode_id,viewing_date,created_at,updated_at
e65c4b4a-15dc-4622-b152-c58938dfe7db,52077213-2ced-4b86-816e-5f6a5640e87c,3/19/2012,3/19/2012,3/19/2012
e823c2bb-72da-4c21-b159-ca2113ec4a02,87915b94-b17f-4914-ab03-cdefcfc788a0,12/19/2011,12/19/2011,12/19/2011
9a4bb96a-317b-422e-8c5a-cbcf5a515271,d10299da-fd2c-4704-a50c-c37dcef077ec,11/15/2011,11/15/2011,11/15/2011
986fe3f2-2e6d-466a-b70b-cf6fa5f465e8,fc4334ae-dbd0-4725-85f8-f62339ff60fa,12/8/2011,12/8/2011,12/8/2011
cc3db0d5-5663-4fe6-b0db-d046f7e0437a,0f625d1c-932c-4613-9242-a3003b04d642,11/15/2011,11/15/2011,11/15/2011
a9c95fb0-19d6-4ae9-afce-d1a43eba2ec7,55bb2736-6866-4006-81e8-45d41eb417f6,1/24/2012,1/24/2012,1/24/2012
3777abf4-2fed-4071-bb3b-d4f94d63132e,13ffefe2-b073-40c3-8a21-de6f78267ded,12/9/2011,12/9/2011,12/9/2011
8ca7fd0e-1180-469c-961c-d547de36191b,1fc281d1-afac-43f0-b691-42ec89e0f93e,12/18/2011,12/18/2011,12/18/2011
c9c37f66-d3cd-4e87-b4e8-d75797d209ab,c629a147-a1b8-4aa9-bf78-d146a6086e72,11/13/2011,11/13/2011,11/13/2011
95db8319-ef2e-48b7-ad9b-d80fdf48af5b,94cbbea8-93b1-48b5-bc21-3c6a1b173d38,1/3/2012,1/3/2012,1/3/2012
cb1a1ab3-a319-428b-af03-da73c656d444,f5c333ef-7239-43ad-92d7-874c8096948b,11/28/2011,11/28/2011,11/28/2011
f7b2f428-44e7-4204-b1f6-ddab4302e8d3,80ba131a-fe25-463c-8661-52c038c9c86f,11/13/2011,11/13/2011,11/13/2011
6e70ec22-26e0-4523-94df-de945210837a,c1a33cb1-a66d-49df-97dc-b10c90b79fad,11/27/2011,11/27/2011,11/27/2011
a43ef684-f7a2-4cb1-947c-df5ab6680c64,11adc6c5-f0af-42b9-8b08-fc7e0874241d,11/26/2011,11/27/2011,11/27/2011
f18a8301-32a1-4452-ad12-e312db3bd7c3,7d4aa91d-0583-42b0-818c-93e1637af17e,12/10/2011,12/12/2011,12/12/2011
a3e456ae-3d43-44b8-89ae-e586577f1016,9bd367b4-5edb-468d-a032-eaccdbaa79bc,1/10/2012,1/10/2012,1/10/2012
a8ce5bc8-8705-4a37-8b76-e97e27aff7ad,9a7c34b8-d080-4599-9156-bd5a9accd6b3,1/2/2012,1/2/2012,1/2/2012
f9677efc-f5ec-4373-8efd-e9d2ee905e64,b6574b9d-73c6-4af3-9939-2750a5bfe1f1,11/29/2011,11/29/2011,11/29/2011
4c760bed-0926-45b1-93c8-edb752c02974,ad5971e3-cfbb-412e-94bf-78c5f7d2edd1,11/13/2011,11/16/2011,11/16/2011
00ab22ff-ec8a-4040-bcbc-effaef2f87cc,56a28650-f550-4fce-9602-5b06fcd64289,1/21/2012,1/21/2012,1/21/2012
889eea92-b4c2-47e7-b9fc-f378c232dae2,f7d3c790-66de-4ec2-bade-119c96845b01,2/3/2012,2/20/2012,2/20/2012
d21f5b40-15d6-48ea-8b39-f408e0d4e6d0,7962c7c6-2976-45cf-b062-2dc2bf181dee,11/28/2011,11/28/2011,11/28/2011
5eed3905-7df5-4e76-b6f1-f88610b8c3ec,22a2343e-8036-454f-9384-91dcdb633177,1/21/2012,1/21/2012,1/21/2012
809231c2-bae8-4f7b-8f8f-f9bfbcdb6c28,46dbc170-4a12-439b-be21-3772eec41aa2,11/13/2011,11/16/2011,11/16/2011
a6056321-606d-498b-9e11-fa08b5f8a82c,62511f46-19a8-4d5a-a9c9-efd4d625fcbd,11/13/2011,11/13/2011,11/13/2011
c8999879-7d88-490d-bad8-faa2a5926aa8,4d5dd284-5d65-4d5f-9807-b8755402a2b2,1/28/2012,1/28/2012,1/28/2012
4f91fa4c-89da-449c-b6a5-fb95831a0cc5,96ef2f1c-6d9a-42ca-8dfa-25fb4bab4659,12/14/2011,12/17/2011,12/17/2011
d26dfa19-0380-451b-86a8-fd1be70d1953,fea7aea7-551f-4959-917c-11da816da6a9,11/26/2011,11/27/2011,11/27/2011
fbf101cf-3e2a-4d65-9537-fff1cf27b04a,a39636bf-ac4e-4c00-bdfb-63e83960cad0,3/19/2012,3/19/2012,3/19/2012
